Site,Subplot,Core_ID,DOY,Depth Increment,Depth_Type,Scanned,Overall Wet Weight (g),Volume (cm3(,Depth Wet Weight (g),HALVED Wet Weight,Subsection Wet Weight (g),Wet weight bulk density,Cage Weight (g),Subsection Dried Weight (g),sub_scaled,scaled_dry,Root Dry Biomass Total (g),dry_bulkdensity,rootmass_bulkdensity,Black_branch_biomass,Brown_branch_biomass,Sticky_biomass,Stringy_biomass,Branched_Biomass,Dead_biomass,Thick_biomass,White_branched_biomass,Seed_biomass,Fine_branched_biomass,Moss_biomass,Skinny_white_biomass,White_Skinny,Big_Brown,Big_Branched,Sprout,Chunky_white_Branched,Yellow_Branched,Thicker_orangey branched,White_chunky,Chunky orange branched,flat,Flat_branched,thicker_branched,Black_Chunky,light branched,woody_branched
Kluane,A,P1,173,0-5,Top,Y,319.04,192.417,123.59,NA,9.24,0.597296497,8.66,1.4,0.151515152,17.41363636,0.0039,0.090499469,0.043094175,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kluane,A,P1,173,5-10,Bottom,Y,319.04,192.417,172.55,NA,9.24,0.83828352,11.25,1.4,0.151515152,24.43939394,0.0158,0.127012654,0.124397054,0,0,0,0.0001,0.0156,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,208,0-5,Top,Y,496.25,192.417,100.44,NA,4.95,0.482649662,7.57,0.91,0.183838384,17.07307071,0.0206,0.088729534,0.232166215,0,0,0,0.0014,0,0,0,0,0.0014,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,208,5-15,Middle,Y,496.25,384.834,241.04,NA,4.95,0.588331592,14.63,0.91,0.183838384,41.62284848,0.0132,0.108157929,0.122043757,0,0,0,0.0027,0.0014,0,0,0,0.0019,0,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,208,15-20,Bottom,Y,496.25,384.834,112.3,NA,4.95,0.262658705,11.22,0.91,0.183838384,18.58238384,0.04,0.048286752,0.828384568,0,0,0.0313,0.0015,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,225,0-5,Top,Y,860.48,192.417,121.31,NA,5.48,0.579470629,9.81,0.91,0.166058394,18.51551095,0.0069,0.096225962,0.07170622,0,0,0,0.001,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,225,5-15,Middle,Y,860.48,384.834,272.86,NA,5.48,0.668470042,15.61,0.91,0.166058394,42.7185219,0.0067,0.111005062,0.060357608,0,0,0,0.0034,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,225,15-25,Middle2,Y,860.48,384.834,256.61,NA,5.48,0.627309437,15.2,0.91,0.166058394,40.08815693,0.0078,0.104169998,0.074877605,0,0,0,0.0025,0.0024,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,225,25-30,Bottom,Y,860.48,192.417,147.16,NA,5.48,0.696144312,13.21,0.91,0.166058394,22.2435219,0.0112,0.115600606,0.096885305,0,0,0,0.0011,0.0038,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,B,P1,173,0-5,Top,Y,458.09,192.417,198.28,NA,11.6,0.952046857,15.09,3.46,0.298275862,54.64115517,0.0058,0.283972597,0.020424506,0,0,0,0.0003,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,B,P1,173,5-10,Middle,Y,458.09,192.417,203.59,NA,11.6,0.878040922,34.64,3.46,0.298275862,50.3937069,0.0111,0.261898413,0.042382846,0,0,0,0.0005,0.0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,208,0-5,Top,Y,371.61,192.417,49.44,NA,5.2,0.213078886,8.44,1.6,0.307692308,12.61538462,0.0219,0.065562734,0.334031219,0.0139,0.0063,0,0.0005,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,208,5-15,Middle,Y,371.61,384.834,170.35,NA,5.2,0.407370451,13.58,1.6,0.307692308,48.23692308,0.0096,0.125344754,0.076588766,0.0043,0.0019,0,0.0022,0,0,0,0.0002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,208,15-20,Bottom,Y,371.61,192.417,101.26,NA,5.2,0.463836355,12.01,1.6,0.307692308,27.46153846,0.0342,0.142718879,0.239631928,0.0219,0.0034,0,0.0028,0,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,225,0-5,Top,Y,560.47,192.417,78.97,NA,6.22,0.366755536,8.4,1.58,0.254019293,17.92614148,0.0019,0.093162982,0.020394367,0,0,0,0.0003,0.0006,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,225,5-15,Middle,Y,560.47,384.834,205.63,NA,6.22,0.495148558,15.08,1.58,0.254019293,48.40337621,0.0012,0.125777286,0.009540673,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,225,15-25,Middle2,Y,560.47,384.834,186.13,NA,6.22,0.443697802,15.38,1.58,0.254019293,43.37379421,0.0077,0.112707802,0.068318252,0,0,0,0.002,0.0043,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,225,25-30,Bottom,Y,560.47,192.417,35.06,NA,6.22,0.148739457,6.44,1.58,0.254019293,7.270032154,0.007,0.037782692,0.18527002,0,0,0,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
